<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;13:13:00;116100;116120;116070;116100;357
SPFB.RTS-12.18;1;27.09.2018;13:14:00;116100;116140;116080;116100;194
SPFB.RTS-12.18;1;27.09.2018;13:15:00;116110;116110;116080;116080;147
SPFB.RTS-12.18;1;27.09.2018;13:16:00;116080;116090;116040;116080;267
SPFB.RTS-12.18;1;27.09.2018;13:17:00;116070;116070;116040;116040;258
SPFB.RTS-12.18;1;27.09.2018;13:18:00;116030;116080;116030;116040;268
SPFB.RTS-12.18;1;27.09.2018;13:19:00;116060;116070;116030;116030;101
SPFB.RTS-12.18;1;27.09.2018;13:20:00;116030;116030;115990;115990;448
SPFB.RTS-12.18;1;27.09.2018;13:21:00;115990;116010;115940;115960;547
SPFB.RTS-12.18;1;27.09.2018;13:22:00;115970;116010;115950;115980;167
SPFB.RTS-12.18;1;27.09.2018;13:23:00;115980;116020;115980;115990;109
SPFB.RTS-12.18;1;27.09.2018;13:24:00;115990;115990;115950;115970;209
SPFB.RTS-12.18;1;27.09.2018;13:25:00;115970;116030;115960;116030;245
SPFB.RTS-12.18;1;27.09.2018;13:26:00;116030;116030;115990;116000;103
SPFB.RTS-12.18;1;27.09.2018;13:27:00;116000;116010;115970;116000;284
SPFB.RTS-12.18;1;27.09.2018;13:28:00;116000;116000;115960;115960;99
SPFB.RTS-12.18;1;27.09.2018;13:29:00;115960;115990;115950;115990;109
SPFB.RTS-12.18;1;27.09.2018;13:30:00;115990;116000;115980;115990;76
SPFB.RTS-12.18;1;27.09.2018;13:31:00;115990;116020;115970;115970;264
SPFB.RTS-12.18;1;27.09.2018;13:32:00;115980;115990;115900;115940;474
SPFB.RTS-12.18;1;27.09.2018;13:33:00;115950;115970;115940;115950;113
SPFB.RTS-12.18;1;27.09.2018;13:34:00;115970;115970;115940;115960;108
SPFB.RTS-12.18;1;27.09.2018;13:35:00;115930;115930;115910;115910;101
SPFB.RTS-12.18;1;27.09.2018;13:36:00;115920;115940;115890;115900;216
SPFB.RTS-12.18;1;27.09.2018;13:37:00;115910;115930;115850;115930;587
SPFB.RTS-12.18;1;27.09.2018;13:38:00;115940;115940;115920;115930;73
SPFB.RTS-12.18;1;27.09.2018;13:39:00;115930;115930;115890;115890;112
SPFB.RTS-12.18;1;27.09.2018;13:40:00;115900;115940;115890;115940;97
SPFB.RTS-12.18;1;27.09.2018;13:41:00;115930;116000;115920;116000;273
SPFB.RTS-12.18;1;27.09.2018;13:42:00;116010;116090;115990;116080;792
SPFB.RTS-12.18;1;27.09.2018;13:43:00;116070;116120;116030;116050;633
SPFB.RTS-12.18;1;27.09.2018;13:44:00;116060;116070;116000;116000;239
SPFB.RTS-12.18;1;27.09.2018;13:45:00;116000;116110;116000;116060;335
SPFB.RTS-12.18;1;27.09.2018;13:46:00;116060;116150;116060;116110;482
SPFB.RTS-12.18;1;27.09.2018;13:47:00;116100;116160;116090;116160;473
SPFB.RTS-12.18;1;27.09.2018;13:48:00;116160;116340;116140;116280;2939
SPFB.RTS-12.18;1;27.09.2018;13:49:00;116280;116290;116220;116220;541
SPFB.RTS-12.18;1;27.09.2018;13:50:00;116230;116310;116230;116300;584
SPFB.RTS-12.18;1;27.09.2018;13:51:00;116300;116340;116230;116240;659
SPFB.RTS-12.18;1;27.09.2018;13:52:00;116240;116280;116210;116230;593
SPFB.RTS-12.18;1;27.09.2018;13:53:00;116220;116220;116110;116120;1099
SPFB.RTS-12.18;1;27.09.2018;13:54:00;116130;116180;116120;116160;247
SPFB.RTS-12.18;1;27.09.2018;13:55:00;116180;116250;116170;116210;286
SPFB.RTS-12.18;1;27.09.2018;13:56:00;116210;116240;116180;116180;259
SPFB.RTS-12.18;1;27.09.2018;13:57:00;116200;116260;116170;116220;372
SPFB.RTS-12.18;1;27.09.2018;13:58:00;116230;116250;116190;116230;180
SPFB.RTS-12.18;1;27.09.2018;13:59:00;116240;116250;116190;116220;263
SPFB.RTS-12.18;1;27.09.2018;14:00:00;116210;116330;116190;116260;636
SPFB.RTS-12.18;1;27.09.2018;14:06:00;116290;116440;116280;116370;1941
SPFB.RTS-12.18;1;27.09.2018;14:07:00;116380;116420;116330;116350;1740
SPFB.RTS-12.18;1;27.09.2018;14:08:00;116350;116360;116310;116310;374
SPFB.RTS-12.18;1;27.09.2018;14:09:00;116330;116350;116310;116340;363
SPFB.RTS-12.18;1;27.09.2018;14:10:00;116330;116350;116300;116340;488
SPFB.RTS-12.18;1;27.09.2018;14:11:00;116350;116390;116320;116390;463
SPFB.RTS-12.18;1;27.09.2018;14:12:00;116390;116440;116350;116360;1180
SPFB.RTS-12.18;1;27.09.2018;14:13:00;116350;116390;116320;116330;396
SPFB.RTS-12.18;1;27.09.2018;14:14:00;116330;116410;116320;116400;765
SPFB.RTS-12.18;1;27.09.2018;14:15:00;116380;116430;116380;116400;469
SPFB.RTS-12.18;1;27.09.2018;14:16:00;116410;116410;116340;116340;641
SPFB.RTS-12.18;1;27.09.2018;14:17:00;116350;116360;116300;116340;676
SPFB.RTS-12.18;1;27.09.2018;14:18:00;116350;116370;116310;116320;234
SPFB.RTS-12.18;1;27.09.2018;14:19:00;116320;116340;116320;116340;103
SPFB.RTS-12.18;1;27.09.2018;14:20:00;116350;116350;116300;116330;316
SPFB.RTS-12.18;1;27.09.2018;14:21:00;116330;116370;116320;116370;211
SPFB.RTS-12.18;1;27.09.2018;14:22:00;116370;116380;116340;116360;373
SPFB.RTS-12.18;1;27.09.2018;14:23:00;116340;116370;116330;116370;203
SPFB.RTS-12.18;1;27.09.2018;14:24:00;116370;116390;116340;116340;197
SPFB.RTS-12.18;1;27.09.2018;14:25:00;116350;116360;116330;116350;216
SPFB.RTS-12.18;1;27.09.2018;14:26:00;116340;116350;116270;116280;397
SPFB.RTS-12.18;1;27.09.2018;14:27:00;116280;116330;116270;116320;197
SPFB.RTS-12.18;1;27.09.2018;14:28:00;116320;116350;116310;116310;170
SPFB.RTS-12.18;1;27.09.2018;14:29:00;116330;116330;116310;116310;187
SPFB.RTS-12.18;1;27.09.2018;14:30:00;116310;116350;116300;116350;278
SPFB.RTS-12.18;1;27.09.2018;14:31:00;116360;116370;116330;116340;186
SPFB.RTS-12.18;1;27.09.2018;14:32:00;116330;116360;116330;116350;433
SPFB.RTS-12.18;1;27.09.2018;14:33:00;116340;116380;116340;116350;366
SPFB.RTS-12.18;1;27.09.2018;14:34:00;116350;116360;116300;116330;373
SPFB.RTS-12.18;1;27.09.2018;14:35:00;116340;116560;116330;116550;2568
SPFB.RTS-12.18;1;27.09.2018;14:36:00;116540;116610;116490;116510;2277
SPFB.RTS-12.18;1;27.09.2018;14:37:00;116510;116530;116470;116480;456
SPFB.RTS-12.18;1;27.09.2018;14:38:00;116480;116560;116470;116540;655
SPFB.RTS-12.18;1;27.09.2018;14:39:00;116530;116600;116530;116550;563
